"Week","investment","growth","derivatives","crisis","unemployment","banking","dow","economy","stocks","economics","hedge","invest","profit","leverage","risk","revenue","nasdaq","metals","politics","consumption","cash","dividend","finance","portfolio","conflict","oil","fed","gain","short","energy","credit","loss","earnings","stock","transaction","housing","nyse","success","bubble","trader","environment","greed","opportunity","inflation","money","sell","returns","society","chance","present","world","rich","war","return","markets","crash","freedom","office","headlines","house","culture","arts","buy","ore","food","bonds","tourism","holiday","health","train","fine","gold","marriage","water","cancer","car","debt","travel","happy","forex","restaurant","default","ring","lifestyle","labor","fond","religion","financial","rare","home","kitchen","garden","fun","movie","consume","gains","logret"
2013-02-03,-4,0,5,0,-9,1,-2,-2,-4,-4,0,2,-2,-3,-1,12,-1,3,-2,3,-1,-10,0,-4,1,-3,-4,-4,-17,0,-3,0,-8,1,0,-4,0,1,-2,-2,1,9,-6,1,-4,-2,-9,1,0,2,0,-3,3,3,-4,-12,1,-2,0,-2,2,-2,-1,2,-1,0,4,1,-3,-2,2,-1,1,-2,-1,0,-1,2,0,0,-3,0,4,0,-1,-4,0,-4,-7,-2,2,0,6,-2,-15,-2,-0.000801434852323979
2013-02-10,-1,-2,3,-4,-4,3,-1,-6,1,-5,1,-2,-4,6,-5,-2,-4,-1,2,2,-2,5,-2,1,-1,0,-1,2,26,-1,-1,-3,-5,-1,0,-4,1,-3,1,0,-4,1,-4,1,-2,-1,-16,2,0,4,-1,0,-3,-8,3,-2,-3,-2,0,1,-2,0,2,-8,-2,-4,-2,4,-4,1,0,0,1,3,1,1,0,-4,16,2,15,-1,-1,-1,0,5,2,2,4,-1,3,9,16,3,14,0,0.00134445914835091
2013-02-17,2,1,-4,10,0,-1,0,4,-3,-1,8,2,2,-3,6,-2,-3,0,-1,-1,0,-8,-2,-3,-6,5,-1,0,-36,-3,0,6,-5,1,-4,5,-2,2,-3,2,0,11,-7,2,1,2,-4,-1,-1,-9,1,2,1,0,-1,7,0,-1,-1,4,0,2,0,7,2,-3,2,1,3,1,-2,3,0,3,2,2,0,4,-16,1,-9,1,-2,3,0,-1,2,-5,6,1,-2,-3,-15,0,0,6,0.00634314067391983
2013-02-24,1,4,16,5,-1,6,2,4,2,-1,-3,0,4,5,1,-2,7,1,2,5,2,6,8,4,11,-3,3,1,31,6,1,-1,0,0,1,2,-1,2,6,-3,9,-2,-4,2,2,-2,-1,2,-2,8,0,-1,6,-5,2,16,0,0,1,-3,2,0,-1,2,0,4,4,-6,3,-1,-2,-3,-1,-2,1,2,3,1,0,-4,-2,-2,-3,0,0,-4,-2,0,-7,-1,-3,-1,-2,-1,-2,-5,0.0215835292946647
2013-03-03,0,-1,-18,-8,0,-2,4,-2,4,2,-3,1,-3,2,-2,-6,2,-4,-1,1,-4,4,-3,4,0,1,-3,-1,-19,-3,0,1,-5,2,3,0,0,-4,7,2,-1,-6,-3,-1,-1,-1,-5,-3,1,-4,1,2,0,-4,-1,-22,1,-2,1,0,-1,1,-1,3,2,-3,8,2,-4,2,2,1,0,1,4,-2,-4,4,0,9,-1,2,0,-3,1,3,-2,-1,-12,0,-2,5,1,-1,-11,6,0.00809656857185104
2013-03-10,-3,-4,-2,-5,-3,0,-3,-4,-3,-8,3,-2,1,-6,-5,1,-3,-2,-2,-10,1,0,0,-4,-4,-1,-2,2,3,-3,-2,-4,-1,-3,-1,-1,0,0,4,2,-7,9,-3,-12,-1,1,0,2,-1,-3,1,0,5,0,3,4,-2,-1,-3,-1,-2,-2,0,-6,-2,-4,-3,1,1,-1,-2,-1,1,0,-4,3,-2,-4,0,-5,3,-3,3,0,-1,4,7,-7,3,0,5,2,1,-2,3,-4,-0.000143324531528322
2013-03-17,2,2,9,10,1,-7,-1,-1,-5,6,2,0,-1,-2,2,-3,-6,1,0,5,2,-4,0,-2,2,3,0,3,-10,0,0,3,-2,0,-1,2,0,4,-3,1,4,-5,1,9,1,2,-2,-4,2,1,-1,0,2,-2,-2,-2,2,-1,2,2,0,0,1,-2,2,1,0,0,0,-1,2,-1,2,-1,0,-2,-1,0,1,-2,0,0,-2,1,1,-3,-7,6,3,0,-2,1,-3,1,6,0,0.00457260763009693
2013-03-24,-2,-4,-17,1,0,4,-1,-5,-2,-8,-3,-1,-1,7,2,-5,3,-2,0,-3,0,1,-5,1,-9,0,1,-2,21,-5,-2,-3,-1,2,-5,2,4,-8,-5,1,-12,-14,-5,-1,1,1,1,-3,-1,-7,1,2,-4,1,4,-3,0,2,-2,-1,-2,-1,0,15,0,-6,-5,3,1,1,0,-3,56,0,-3,2,1,-2,4,-8,1,0,-3,-2,-2,2,6,-2,4,2,-1,1,5,5,-7,-2,-0.000912032368024285
2013-03-31,2,0,2,-3,1,-1,0,3,-1,7,2,0,1,-9,-1,4,0,5,1,3,0,-5,0,1,5,0,-2,5,-8,6,4,3,2,-3,3,4,-4,43,-3,2,5,6,8,2,-4,-2,-2,2,0,2,-2,2,-1,-1,-4,0,-3,0,2,1,0,2,0,0,-3,4,5,-1,0,-2,9,0,-50,0,4,-2,-1,-1,2,7,-5,0,2,2,1,-2,-2,6,6,1,-2,2,-4,0,10,4,0.0203749091425838
2013-04-07,3,9,0,6,0,-2,1,11,3,6,4,0,8,5,6,22,2,3,1,-2,1,3,3,0,8,-2,7,6,-6,3,0,4,10,1,1,3,-1,-35,0,-1,14,0,5,0,2,3,8,6,-1,7,0,1,3,9,1,2,5,1,1,0,4,2,-3,-6,2,5,-3,-4,2,2,-4,4,-3,5,2,0,2,2,-6,7,1,0,0,0,2,2,-3,-2,-16,5,1,3,0,-4,13,8,-0.0215936349754067
2013-04-14,-6,-2,3,5,-2,1,2,-4,-2,-3,7,1,-5,-6,-4,-2,-4,7,0,7,-1,-3,1,1,0,1,-4,1,-4,-4,-4,-7,12,1,-3,-7,0,-4,1,-6,-4,0,-5,4,1,-4,1,-3,-1,-1,0,-1,-4,-1,-1,-2,-1,1,3,-2,-2,-1,0,-5,-2,-3,-2,0,-4,-2,-1,13,-3,-1,-7,-4,0,-2,-1,-9,-2,-3,-2,3,-1,-3,4,3,15,-6,0,1,-1,0,-8,-13,0.0112810289307603
2013-04-21,4,2,4,0,2,-1,-2,2,1,4,2,-3,1,6,6,-30,7,-8,0,3,3,4,0,3,5,1,-2,33,13,1,0,4,11,-1,3,6,0,3,1,3,11,-3,-5,2,-2,3,-11,2,2,4,0,0,-1,-19,5,0,2,-4,-2,4,3,2,0,9,4,6,11,0,4,1,-1,-12,2,3,3,4,-2,1,2,-2,3,2,8,-1,1,2,3,0,5,2,0,3,0,-2,-2,-2,0.0176118321061711
2013-04-28,0,-1,2,0,-1,6,0,5,1,3,6,2,-3,4,-7,-4,-2,1,1,-5,0,3,0,8,-1,-2,-1,2,-12,6,3,-1,-15,0,-1,0,2,-2,0,1,-4,6,4,3,4,3,-4,-2,4,1,0,-1,2,0,0,33,3,3,-2,0,1,-2,1,1,1,2,-3,1,-3,-1,0,-3,-1,2,1,2,2,2,1,1,1,2,-5,-1,1,1,-2,6,-7,1,-1,1,2,1,1,0,0.00960582361365248
2013-05-05,-2,-4,1,-4,-2,-4,1,-8,0,-3,-5,0,-5,-9,-4,-7,1,-3,-1,-5,-1,-6,-1,-10,-6,0,-1,-30,-6,-6,-1,-3,-6,0,-1,-5,0,-5,-3,-2,-8,0,-6,-6,-1,-2,-3,0,-1,-3,-1,1,-2,1,-1,-25,-2,3,3,-3,-3,-1,0,-12,-4,-10,-5,-1,1,1,1,0,1,-3,0,-2,-4,-4,5,2,4,-2,3,-3,-1,5,-4,-12,-7,1,0,0,-2,2,-11,-7,0.0154835898574017
2013-05-12,-5,-4,-12,-4,-2,-3,-1,-1,0,-9,1,-1,0,-1,-1,1,-1,-3,1,-9,-1,1,1,4,-3,-1,0,-4,9,-3,-1,3,-9,0,2,-4,-2,1,2,0,0,-3,1,-9,0,3,4,-6,0,-3,2,0,-1,-3,-5,-4,-4,4,-5,1,-1,1,0,0,3,0,1,2,-4,1,1,0,0,1,3,5,-1,4,9,-2,-1,0,-3,1,1,-6,-7,-1,-3,2,6,1,2,-1,1,1,-0.00334670667096937
2013-05-19,-5,-3,-7,-8,1,-3,0,-4,-2,-14,-2,1,-5,0,-8,-6,-1,0,-2,2,2,-14,0,-12,-6,-1,2,-7,3,-4,0,-3,-3,0,-6,-1,2,-6,1,0,-7,-3,-5,-6,-2,-3,-5,-1,0,-3,-1,-1,-1,-3,4,-3,-1,-6,5,0,-3,-3,0,1,-2,-1,4,2,1,4,-1,-1,-4,3,-6,-1,-2,3,-14,-1,-3,-3,-2,-2,0,2,-1,-5,4,3,-5,-6,4,4,-3,1,-0.0123300375928359
2013-05-26,2,-3,-6,-1,2,6,0,-6,-3,-4,-1,-5,-7,-4,-3,-3,-7,-11,-2,-7,4,-3,-6,-6,-9,3,0,-3,8,-1,4,1,-4,-2,-1,1,-4,0,16,5,-8,6,-4,-5,2,2,-1,-2,-1,-4,1,1,2,0,1,6,0,-6,0,0,-3,1,3,8,1,-4,-2,1,-3,7,1,-1,3,1,2,2,0,-3,-1,10,1,2,2,3,-1,3,-5,0,-4,3,1,7,2,8,-14,-3,0.00873086532779332
2013-06-02,1,0,-3,-6,-1,0,1,-6,-2,-4,4,0,3,0,8,3,6,2,0,3,-5,4,2,8,-3,-1,1,-3,-10,-3,0,2,-3,0,3,1,2,-2,-13,-4,9,-3,2,1,-2,1,7,-2,-1,1,0,-1,-6,-1,4,-4,1,2,-8,-1,-1,5,-3,-1,0,3,-6,-3,1,-8,-2,-1,-3,1,13,-2,-2,1,-1,-9,-3,2,-2,-2,-1,-5,-5,5,0,-6,-2,-10,-8,-8,6,2,-0.0117382883144774
2013-06-09,-4,1,5,-1,0,-1,-1,-6,-1,-5,-3,-1,2,1,-2,-1,-1,2,0,2,0,-1,2,-5,-4,0,-1,0,-11,0,0,-3,1,-1,1,0,-2,-2,2,-1,-2,-8,-1,-4,0,2,13,-3,0,-4,1,3,-4,-1,-3,2,-2,2,0,1,-1,-2,3,-1,0,-6,4,1,-1,2,-2,2,-1,4,-15,5,1,3,1,6,5,1,8,-1,2,0,-6,-6,17,2,1,-1,0,4,5,-1,-0.0181312702963261
2013-06-16,1,-4,-7,-5,-1,2,3,-7,2,-3,-5,0,-3,-2,-3,2,0,-2,-2,-9,1,-4,2,-4,-6,3,6,0,-1,-1,-1,-1,3,3,-1,-1,4,-3,2,2,-19,-3,-4,4,0,2,0,2,0,-4,3,-1,12,1,2,1,-1,3,0,0,-1,-4,1,-4,-1,3,-5,1,2,1,0,1,1,0,2,0,-1,-3,6,-2,0,1,11,1,0,-4,0,3,-17,-2,0,1,-1,2,-6,-3,0.00741860873187505
2013-06-23,-3,1,2,-1,2,-1,1,4,-4,-2,3,1,0,7,-1,-5,-2,2,1,5,0,1,-2,1,-1,-2,-5,-1,-11,2,4,2,-1,-1,4,-1,-1,-1,-2,-1,-3,3,0,0,4,0,-13,-1,0,-2,-2,1,-3,1,2,5,6,-3,6,3,-1,-2,0,8,0,-1,1,2,2,-1,-2,3,39,1,-3,-1,1,0,-8,4,-2,2,-5,-1,0,7,1,8,7,2,1,-3,0,2,5,-1,0.0150601565628605
2013-06-30,-9,-8,-4,-1,2,1,-5,-8,-4,-7,-8,-3,-9,-3,-10,-6,-7,-9,-2,-7,1,-7,-7,-10,0,0,-4,-1,12,-12,-1,-4,-2,-1,-13,-8,3,-4,2,4,-6,8,-9,-11,-4,-4,0,-6,0,-3,-1,-2,-5,-3,1,32,20,-5,-6,3,-1,-2,2,-3,3,-6,4,4,-12,2,0,-1,-33,4,-4,-1,-3,-1,5,5,3,-7,-9,0,0,-3,0,-10,1,1,0,0,0,7,-8,-3,0.021468697882236
2013-07-07,17,11,8,4,2,-3,1,7,7,8,13,4,12,8,10,9,13,6,1,4,0,8,8,15,5,3,7,4,16,10,-1,8,9,-1,10,14,-4,5,-3,-1,3,-3,10,7,1,3,1,5,1,3,0,1,-9,1,-4,35,-28,11,1,-1,1,4,-2,-10,-3,5,-4,-6,14,10,0,4,-4,-4,8,1,4,2,-6,-1,2,7,1,1,3,1,0,11,-4,-1,2,-2,-2,-7,2,7,0.00512387127356639
2013-07-14,-4,-5,-3,-7,-2,2,1,-4,0,-4,-5,-1,-4,-4,4,1,-2,0,1,3,-1,-2,0,-4,3,-1,-5,-3,-9,0,-1,-5,17,0,2,-3,-1,-2,-1,1,3,-2,-4,3,6,-1,1,-2,0,0,-1,3,-3,1,-5,-61,-1,-5,3,-2,1,-1,-2,1,-2,3,-1,1,0,-6,0,-1,-1,2,9,0,0,0,1,-5,3,-1,-4,1,3,4,-1,-13,-11,3,0,0,1,2,12,-2,0.000970327856032682
2013-07-21,1,1,-5,3,-2,-5,-2,5,2,3,2,3,5,6,-1,-1,-1,-2,-1,-3,0,5,-1,7,-2,-1,1,-2,1,-3,2,3,12,-1,0,4,0,1,-2,-2,1,6,1,-6,-2,4,24,1,1,2,-1,6,0,-1,4,3,-3,4,5,3,0,0,2,0,1,-1,0,0,-2,17,0,5,1,-7,-10,2,1,-1,-1,-2,-2,-2,2,6,2,-5,1,4,24,-10,3,-2,-3,1,-6,5,0.00637665400920362
2013-07-28,1,0,2,2,0,3,1,-3,-3,-2,-6,-2,3,-12,-3,-1,4,3,0,3,0,-1,0,-6,1,0,2,0,-10,1,-1,-1,-14,1,-2,0,2,2,1,3,-6,1,5,2,1,0,-13,1,-1,-2,0,-2,-1,2,-1,-8,4,2,-6,-3,-1,1,1,4,0,-2,-3,-1,2,-12,1,-6,0,-1,-1,-3,-1,1,0,3,4,1,0,-7,0,-5,2,-4,-7,5,-1,1,-1,-5,-5,-2,-0.0149823648592271
2013-08-04,0,1,-1,1,-2,-1,-1,-4,1,1,0,1,4,-4,-4,-5,-5,-2,0,-5,0,0,-1,-1,3,-3,-1,1,34,-3,1,-2,-3,-1,-1,0,-2,0,-2,-4,2,4,1,0,-5,0,-11,-2,0,-2,1,-5,-1,-1,0,-3,-4,0,1,-1,-1,0,-1,-2,1,-2,3,1,-1,-7,0,-5,-2,-1,-3,0,0,0,2,-1,-3,-1,0,-1,3,5,-2,6,-3,-5,-3,-2,0,1,-1,-2,-0.0225557974509254
2013-08-11,-2,-1,-5,-1,0,-1,1,3,0,4,-4,2,-6,0,4,2,2,-5,1,1,1,-5,1,1,0,2,0,12,-45,-1,1,-4,-14,1,-3,2,-1,4,1,1,2,-18,-2,-1,3,0,-4,-1,-2,2,-1,0,0,0,-3,12,2,3,-3,0,2,1,0,0,1,-3,-7,-1,-1,-1,-1,0,-1,-2,1,0,-2,-6,-2,-3,-3,0,-2,1,5,0,1,-7,3,0,0,0,-5,-3,1,2,-0.00471621300583891
2013-08-18,-2,0,13,1,0,2,1,6,-2,14,4,-5,1,2,-3,-2,59,4,0,2,0,-3,-2,1,6,-2,2,-6,25,3,-4,2,-1,1,2,0,2,3,-2,2,9,15,5,-2,-2,-3,0,5,1,2,1,-1,2,-1,-2,-15,2,3,0,-2,2,1,0,0,-5,3,-2,-2,5,-2,1,1,0,-3,-1,-3,2,0,-1,2,1,1,-2,-2,9,2,7,5,10,1,0,-2,0,-2,3,1,-0.0134270759978641
2013-08-25,0,4,4,4,-2,-1,-1,9,-1,22,-7,0,2,-1,1,1,-60,7,2,1,-1,-2,-1,2,22,0,-2,15,-11,2,0,-4,-3,-1,2,-9,0,3,-1,-7,5,-7,6,8,-2,-4,-5,0,1,7,-2,-4,11,0,4,-5,0,-1,1,-2,3,1,-3,-5,0,5,-3,1,-4,-2,-1,-2,0,-1,0,-3,1,-6,0,2,-5,-1,-1,3,26,1,4,8,-14,-1,-4,-2,-3,-4,-8,-3,0.00754661023102088
2013-09-01,-2,0,12,2,3,2,-2,3,-1,2,1,1,1,2,1,1,-5,-6,2,2,1,5,-5,-7,13,0,-5,1,-4,0,-2,5,2,-1,3,-10,-1,4,-1,3,9,5,-2,-5,1,3,3,4,2,3,1,-1,9,2,-1,1,-2,-8,3,1,3,1,3,1,1,10,-8,2,0,-4,-1,2,0,-1,-1,2,-3,2,1,-6,0,-3,5,1,15,-1,5,3,-9,-2,5,1,3,4,7,0,0.0299415853793263
2013-09-08,9,6,13,9,0,-2,3,12,6,4,2,2,2,7,8,5,8,14,1,10,-1,9,7,8,1,-1,2,-13,10,9,-1,-1,3,2,-3,6,1,8,-2,-4,10,7,12,13,0,-2,3,4,0,8,1,0,-8,1,0,-1,8,2,4,-4,4,-2,-3,-2,-1,10,7,-4,5,-1,2,2,1,2,7,-4,5,-1,-1,0,-6,2,0,-3,-67,-4,6,2,-4,-1,-6,-5,-1,-9,6,2,0.00486781448065265
2013-09-15,-3,4,2,-6,-4,-5,0,3,12,-6,0,7,4,0,4,3,1,9,-1,-1,-1,6,1,-1,-10,-1,14,-6,10,1,-3,-1,4,5,4,-3,0,-3,0,0,7,-6,0,4,5,-1,-1,-1,2,2,-1,1,-1,2,-2,-1,-2,-4,-4,3,1,-1,1,-3,2,-1,-2,1,2,2,-3,-1,-1,-3,0,0,3,-3,1,-4,1,1,0,0,-2,1,2,-6,10,1,0,0,3,0,5,6,-0.0125598405869383
2013-09-22,9,3,20,-1,1,2,-1,-1,10,7,2,7,0,5,3,-1,-4,0,2,4,3,-9,0,4,-2,2,-9,1,22,2,4,0,-2,5,0,4,0,1,2,0,-3,0,0,2,2,1,-1,5,11,0,0,2,-2,1,2,3,-1,-2,4,2,2,0,0,3,0,7,4,1,6,1,3,1,1,1,3,3,5,3,0,3,1,5,0,2,0,1,2,2,-3,1,1,2,4,2,7,-2,-0.0122424961118615
2013-09-29,0,-2,1,2,14,11,3,4,-4,-4,0,2,1,-2,1,0,4,5,2,2,-1,1,3,-3,-4,-1,-1,-4,-14,5,2,1,-3,0,-3,-6,3,-4,-5,-2,-4,9,-5,-2,0,-2,-1,-1,-3,2,-1,-2,-2,-1,-1,3,-2,5,0,4,-4,-3,-1,3,1,-7,2,0,15,0,0,-2,-1,-3,18,-4,22,-3,0,-4,-1,0,-1,-1,0,-2,-3,6,3,-1,-2,-4,0,-1,-6,-1,0.0108567186096895
2013-10-06,-2,1,-3,4,-7,-9,1,-2,-7,-2,2,-4,5,-2,1,1,0,-6,1,2,1,-3,1,3,3,0,1,-1,-7,-3,-6,1,3,-2,4,0,0,3,2,-2,1,0,-8,4,1,2,2,-2,-4,-1,0,2,0,2,2,-3,3,-5,0,-2,3,2,-1,8,1,0,0,4,-16,-1,0,0,0,-2,-3,3,17,0,0,7,-1,11,-3,1,0,1,0,-8,7,-1,1,1,-4,0,1,1,0.0106108844472388
2013-10-13,2,5,-2,3,3,5,0,-2,0,7,-7,-3,0,-2,-1,3,6,3,1,-4,0,6,5,6,-5,2,-1,1,4,5,3,-1,15,1,-5,-1,2,2,-2,5,-5,0,2,3,2,-1,1,1,-2,-3,2,2,-1,2,-1,-2,-3,2,-1,6,0,-1,1,1,1,-5,-4,5,1,4,-1,1,0,0,-2,-2,20,1,3,0,5,8,2,0,0,0,1,-1,-1,2,5,0,0,3,-1,0,0.0110191792400585
2013-10-20,0,-4,6,-5,-5,-3,-4,-3,-1,-5,3,2,-1,5,0,0,-1,5,-4,-1,0,4,-6,-5,3,1,-2,-1,-9,3,-4,-1,9,-5,2,4,-3,7,3,-1,6,-4,5,-4,-6,0,1,-1,-1,3,4,-6,2,-1,-2,2,-1,-1,-2,-2,0,1,0,-3,-1,-2,-5,-6,2,-2,2,-1,3,-1,-5,-2,-57,-1,-3,2,-3,-21,17,-3,0,2,-1,-2,-9,-2,-2,0,0,0,2,4,0.00290321365078405
2013-10-27,2,-2,-16,-1,-1,4,0,-1,0,0,3,-3,0,1,-1,-3,2,-2,0,7,-3,0,-1,3,-4,-1,4,0,-28,1,5,-4,3,-1,1,-6,0,-6,1,-5,-5,-2,-5,8,-3,0,-1,-1,-1,-1,5,1,0,1,-4,-1,-1,-3,2,-2,-3,0,2,-6,0,1,0,4,-5,-3,-2,0,-2,0,-10,-1,-8,0,8,-6,-3,-3,-13,3,0,1,-2,0,9,0,0,-3,1,2,2,-3,0.00932083936521799
2013-11-03,1,4,-4,2,0,3,1,-1,8,2,-5,-1,0,9,4,-2,-1,3,3,0,3,0,5,1,3,0,-4,1,21,-4,-1,5,-13,3,1,5,5,-2,3,3,9,13,-1,-6,3,4,-1,0,1,6,-9,2,0,1,6,-1,3,4,2,-2,3,4,2,-8,1,3,0,9,3,3,4,-1,5,2,-1,1,-1,3,-6,0,5,1,-4,-2,1,-5,2,6,3,2,5,11,0,-4,5,2,0.0126040753218408
2013-11-10,-5,-1,-4,3,0,2,-2,0,-5,-2,-3,-1,1,20,15,0,-6,-5,-3,-3,-1,1,-1,3,1,1,3,-3,26,0,-1,-3,-13,0,1,-4,-3,-1,-1,5,-5,-17,0,3,-1,0,1,0,0,1,0,-1,4,-1,-1,3,2,0,-5,-6,-2,-2,4,6,0,0,2,11,-3,4,-1,1,-4,0,1,2,1,0,1,3,1,-2,4,4,-1,1,3,-1,-6,0,2,-6,-2,2,-4,1,0.00643653157649382
2013-11-17,0,2,-4,2,-1,-2,3,2,-1,-3,-2,2,-1,8,0,2,1,3,1,5,0,-1,-4,2,5,0,2,0,-15,4,3,2,-1,-2,-2,2,0,2,0,-5,0,12,2,1,1,-3,2,2,-2,4,-1,4,-2,1,-1,1,3,-1,2,0,0,0,4,-4,2,6,-3,4,-3,1,-1,0,0,0,-3,-2,-1,-2,4,-1,-4,-1,-1,-5,0,2,-2,4,-3,-4,-2,-8,2,3,0,2,0.00134617942350879
